1789 les amants de la bastille | Au palais royal
Annie Cordy | Le chou chou de mon coeur
Annie Cordy | Nini la chance
Annie Cordy | Tata Yoyo
Annie Villeneuve | Le sais-tu
Annie Villeneuve | Ta lettre
Antoine | Je dis ce que je pense
Antoine | Je l'appelle Canelle
Antoine | La Motogodille
Antoine | La tramontane
Antoine | Les élucubrations
Antoine | Pop Corn
Antoine | Qu'est ce que tu as mis dans le café
Antoine | Ratata
Antoine | Taxi
Antoine | Un an en Amazonie
Ariana Grande | One Last Time
Ariane Moffatt | Je veux tout
Aristide Bruant | Nini peau d'chien
Arkol | Vingt Ans
Arletty | Comme de bien entendu
Arno | Je veux nager
Arno | Les filles du bord de mer
Arno | Les yeux de ma mère
Art Sullivan | Ensemble
Aspects of love | Chanson d'enfance
Assia | Elle est à toi
Assia | Là-Bas
Assia | Si c'était à refaire
Atlantique | Les eaux de Mars
Atlantique | Nelson
Atlantique | Poussée par le vent
Au Bonheur des Dames | Oh les filles
Au Bonheur des Dames | Roulez Bourrés
Au p'tit bonheur | J'veux du soleil
Aurore | Je veux danser la Lambada
Autant en emporte le vent | Tous les hommes
Axel Bauer | Cargo de nuit
Axel Bauer | Eteins la lumière
Axel Bauer in duet with Zazie | A ma place
Axelle Red | A quoi ça sert
Axelle Red | Ce matin
Axelle Red | Je pense à toi
Axelle Red | La claque
Axelle Red | Ma prière
Axelle Red | Sensualité
Baila | La Chatte à La Voisine
Bandolero | Paris Latino
Barbara | Au bois de Saint-Amand
Barbara | Dis quand reviendras-tu
Barbara | Du bout des lèvres
Barbara | Entre l'Ombre et la Lumière
Barbara | Göttingen
Barbara | Je m'balance
Barbara | La solitude
Barbara | L'aigle noir
Barbara | Ma plus belle histoire d'amour c'est vous
Barbara | Marienbad
Barbara | Nantes
Barbara | Une petite cantate
Barbara | Vienne  avi
Barbara et Georges Moustaki | La dame brune
Bart of Noise | Elle lui nous
BB Brunes | Aficionado
BB brunes | Dis moi
BB Brunes | Gaby Oh Gaby
BB Brunes | Stéréo
Beau Dommage | La complainte du phoque en Alaska
Beau Dommage | Le blues d'la métropole
Bébé Lilly | Les bêtises
Belles belles belles | J'attendrai
Ben l'Oncle Soul | Come home
Ben l'Oncle Soul | Demain j'arrête
Ben l'Oncle Soul | Elle me dit
Ben l'Oncle Soul | L'ombre d'un homme
Ben l'Oncle Soul | Mon Amour
Ben l'Oncle Soul | Partir
Ben l'Oncle Soul | Petite soeur
Ben l'Oncle Soul | Soulman
Ben l'Oncle Soul | Sympathique
Bénabar | Couche tard et lève tôt
Bénabar | Dis-lui oui
Bénabar | Je suis de celles
Bénabar | La berceuse
Bénabar | L'agneau
Bénabar | Le dîner
Bénabar | L'effet papillon
Bénabar | Les épices du souk du Caire
Bénabar | Les râteaux
Bénabar | L'itinéraire
Bénabar | Majorette
Bénabar | Maritie et Gilbert Carpentier
Bénabar | Paris by night
Bénabar | Politiquement correct
Bénabar | Porcelaine
Bénabar | Quatre murs et un toit
Bénabar | Tu peux compter sur moi
Bénabar | Vélo
Bénabar | Y'a une fille qu'habite chez moi
Bensé | Au grand jamais
Bernard Lavilliers | Betty
Bernard Lavilliers | Causes perdues
Bernard Lavilliers | L'été
Bernard Lavilliers | Melody Tempo Harmony
Bernard Lavilliers | On The Road Again
Bernard Lavilliers | Solitaire
Berry | Demain
Berry | Le bonheur
Berry | Mademoiselle
Berthe Sylva | Arrêter les aiguilles
Berthe Sylva | Frou-Frou
Berthe Sylva | Les roses blanches
Berthe Sylva | On n'a pas tous les jours 20 ans
Bézu et la classe | Ali Baba
Bézu et la classe | La Queuleuleu
Bibie | Tout doucement
Bill Baxter | Bienvenue à Paris
Bill Baxter | Embrasse-moi idiot
Bill Deraime | Babylone tu déconnes
Billy Ze Kick | Mangez-moi Mangez-moi
Black M | Je garde le sourire
Black M | Je ne dirai rien
Black M | La légende black
Black M | Mme Pavoshko
Black M | On s'fait du mal
Black M | Sur ma route
Blues Trottoir | Un soir de pluie
Bob Azzam | C'est écrit dans le ciel
Bob Azzam | Fais-moi du couscous chéri
Bob Azzam | Mustapha
Boby Lapointe | Ta Katie t'a quitté
Bonnie Tyler | Si demain
Boule Noire | Aimer d'amour
Boulevard Des Airs | Cielo Ciego
Boulevard Des Airs | Emmene moi
Bourvil | A bicyclette
Bourvil | A Dada
Bourvil | A Joinville-le-Pont
Bourvil | A la campagne
Bourvil | Adèle
Bourvil | Ah c'que t'es bête
Bourvil | Allumette Polka
Bourvil | Attachement
Bourvil | Ballade irlandaise
Bourvil | C'est l'piston
