1789 les amants de la bastille | Au palais royal
Daniel Guichard | Toi
Daniel Lanois | Jolie Louise
Daniel Lavoie | Ils s'aiment
Daniel Lévi | Ici et maintenant
Dany Aubé | Fleur de papier
Dany Aubé | Il m'appelait Goguette
Dany Aubé | Ma casquette
Dany Aubé | Mon coeur se brise
Dany Aubé | Zoom Bye Bye
Dany Brillant | Bambino
Dany Brillant | Dans les rues de Rome
Dany Brillant | Hava Naguila
Dany Brillant | Hier encore
Dany Brillant | Histoire d'un Amour
Dany Brillant | J'aime la musique
Dany Brillant | La belle vie
Dany Brillant | La queue du chat
Dany Brillant | Léah
Dany Brillant | Les moulins de mon coeur
Dany Brillant | Mambo Italiano
Dany Brillant | Parce que tu sais
Dany Brillant | Quand je vois tes yeux
Dany Brillant | Ronsard
Dany Brillant | Suzette
Dany Brillant | Tant qu'il y aura des femmes
Dany Brillant | Toi et moi
Dany Brillant | Un Jour
Dany Brillant | Un jour
Dany Brillant | Viens à Saint-Germain
Dany Brillant | Viens danser
Dany Brillant | Volare
Dany Brillant | Y'a que les filles qui m'intéressent
Danyel Gérard | Petit Gonzales
Dario Moreno | Brigitte Bardot
Dario Moreno | Le marchand de bonheur
Dario Moreno | Quand elle danse
Dario Moreno | Si tu vas à Rio
Dario Moreno | Tout l'Amour
Dave | Dansez maintenant
Dave | Du côté de chez Swann
Dave | Est-ce par hazard
Dave | Trop beau
Dave | Vanina
David Hallyday | High
David Hallyday | Tu ne m'as pas laisse le temps
David Martial | Célimène
Début de soirée | Nuit de folie
Demis Roussos | Mourir auprès de mon Amour
Demis Roussos | On écrit sur les murs
Demis Roussos | Prier
Demis Roussos | Quand je t'Aime
Desireless | Voyage Voyage
Dessin animé | Capitaine Flam
Dessin animé | Les mystérieuses cités d'or
Diam's | DJ
Diam's | La Boulette
Diam's | Par Amour
Diane Tell | Si j'étais un homme
Dick  Annegarn | Bruxelles
Dick Annegarn | Bruxelles
Dick Annegarn | Le père Ubu
Dick Annegarn | Mireille
Dick Rivers | Entre nous c'est fini
Dick Rivers | Faire un pont
Dick Rivers | Fais ce que tu veux
Dick Rivers | J'aimerai frapper
Dick Rivers | Je continue mon Rock'n slow
Dick Rivers | Je ne suis plus rien sans toi
Dick Rivers | Le vent
Dick Rivers | Les yeux d'une femme 
Didier Barbelivien | A Barbara
Didier Barbelivien | A toutes les filles 
Didier Barbelivien | C'est d'quel côté la mer
Didier Barbelivien | Elle
Didier Barbelivien | Elsa
Didier Barbelivien | Etre César
Didier Barbelivien | Il faut laisser le temps au temps
Didier Barbelivien | Jean de France
Didier Barbelivien | Là où je t'aime
Didier Barbelivien | La voix d'Elton
Didier Barbelivien | Le Puy du fou
Didier Barbelivien | Les mariés de Vendée 
Didier Barbelivien | Peut-être toi, peut-être une autre
Didier Barbelivien | Quand je t'aime 
Didier Barbelivien | Que l'amour
Didier Barbelivien | Tant qu'il y'aura des chansons
Didier Barbelivien | Tu me perdras Venise
Dis l'heure de Zouk | Laisse parler les gens
DJ Abdel| C'est ma life
DJ Assad | Li tourner
Dominique Walter | Les p'tits boudins
Donia | Impossible
Dorothée | Allo, allo monsieur l'ordinateur
Dorothée | Des millions de copains
Dorothée | Pour faire une chanson
Dracula | Eteins la lumière
Eartha Kitt | C'est si bon
Eartha Kitt | Le danseur de Charleston
Eddy Constantine | Cigarettes whisky et p'tites pépées
Eddy Mitchell | 18 ans demain
Eddy Mitchell | A crédit et en stéréo
Eddy Mitchell | Alice
Eddy Mitchell | Aux yeux de ton amour
Eddy Mitchell | Cash
Eddy Mitchell | C'est facile
Eddy Mitchell | C'est la vie mon chéri
Eddy Mitchell | C'est la vie, mon chéri
Eddy Mitchell | C'est le soir
Eddy Mitchell | C'est un Rocker
Eddy Mitchell | Comme quand j'étais môme
Eddy Mitchell | Comment vas tu mentir
Eddy Mitchell | Couleur menthe à l'eau
Eddy Mitchell | Dactylo Rock
Eddy Mitchell | Derrière l'arc-en-ciel
Eddy Mitchell | Dis toi que ça existe
Eddy Mitchell | Donne moi une idée
Eddy Mitchell | Eddie sois bon
Eddy Mitchell | Elle ne rentre pas ce soir
Eddy Mitchell | Et la voix d'Elvis
Eddy Mitchell | Et s'il n'en reste qu'un
Eddy Mitchell | Fraulein
Eddy Mitchell | Fume cette cigarette
Eddy Mitchell | Garde-moi la dernière danse
Eddy Mitchell | Happy Birthday Rock'n Roll
Eddy Mitchell | Il ne rentre pas ce soir
Eddy Mitchell | J'ai oublié de l'oublier
Eddy Mitchell | J'ai perdu mon amour
Eddy Mitchell | J'ai tout mon temps
Eddy Mitchell | J'aime les interdits
Eddy Mitchell | J'attendrai le prochain train
Eddy Mitchell | J'avais deux amis
Eddy Mitchell | Je ne pense qu'à l'Amour
Eddy Mitchell | Je ne sais faire que l'amour
Eddy Mitchell | Je t'aime trop
Eddy Mitchell | Je vais craquer bientôt
Eddy Mitchell | J'irai au paradis
Eddy Mitchell | J'vous dérange
Eddy Mitchell | La dernire séance
Eddy Mitchell | La fille du Motel
Eddy Mitchell | La maison hantée
Eddy Mitchell | Le Blues du blanc
Eddy Mitchell | Le bon temps qui passe
Eddy Mitchell | Le chanteur de dancing
Eddy Mitchell | Le parking maudit
Eddy Mitchell | Les feuilles mortes
Eddy Mitchell | Les grands moments
Eddy Mitchell | Les traines tard et les rôdeurs
Eddy Mitchell | M'man
Eddy Mitchell | Ne délaisse pas
Eddy Mitchell | On veut des légendes
Eddy Mitchell | Ordonne mais pardonne
Eddy Mitchell | Otis
Eddy Mitchell | Peggy Sue
Eddy Mitchell | Quelque chose a changé
Eddy Mitchell | Qui se souvient de Boney Moronie
Eddy Mitchell | Si tu n'étais pas mon frre
Eddy Mitchell | Société anonyme
Eddy Mitchell | Sur la route 66
Eddy Mitchell | Sur la route de Memphis
Eddy Mitchell | Sur la route de Memphis
Eddy Mitchell | T'es seul, tu stresses, t'es mal
Eddy Mitchell | Ton homme de paille
Eddy Mitchell | Toujours un coin qui me rappelle
Eddy Mitchell | Toute la pluie tombe sur moi
Eddy Mitchell | Tu n'as rien de tout ca
Eddy Mitchell | Tu peux préparer le café noir
Eddy Mitchell | Un portrait de Norman Rockwell
Eddy Mitchell | Un sourire ou un au revoir
Eddy Mitchell | Under the shadow
Eddy Mitchell | Vieille canaille
Eddy Mitchell | Volage
Edith Piaf | Bal dans ma rue
Edith Piaf | Bravo pour le clown
Edith Piaf | C'est un gars
Edith Piaf | Je sais comment
Edith Piaf | Je suis mordue
Edith Piaf | Je t'ai dans la peau
Edith Piaf | Johnny, tu n'es pas un ange
Edith Piaf | La foule
Edith Piaf | La goualante du pauvre Jean
Edith Piaf | La vie en rose
Edith Piaf | L'accordéoniste
Edith Piaf | Les amants d'un jour
Edith Piaf | Les Flonflons du bal
Edith Piaf | Les mots d'Amour
Edith Piaf | Les trois cloches
Edith Piaf | L'homme à la moto
Edith Piaf | L'hymne à l'Amour
Edith Piaf | Milord
Edith Piaf | Mon Dieu
Edith Piaf | Mon manège à moi
Edith Piaf | Non, je ne regrette rien
Edith Piaf | Padam Padam
Edith Piaf | Plus bleu que tes yeux
Edith Piaf | Sous le ciel de Paris
Elegance | Vacances j'oublie tout
Elmer Foot Beat | Daniela
Elodie Frégé | La ceinture
Elsa | T'en va pas
Emile & Images | Capitaine abandonné
Emile & Images | Corps à corps
Emile et Image | Maitresse
Emilie-Claire Barlow | C'est si bon
Emma Daumas | Au jour le jour
Emma Daumas | J'attends
Emma Daumas | Tu seras
Emmanuel Moire | Adulte et Sexy
Emmanuel Moire | Beau malheur
Emmanuel Moire | Beau malheur
Emmanuel Moire | Bienvenue
Emmanuel Moire | Ici ailleurs
Emmanuel Moire | Je ne sais rien
Emmanuel Moire | La blessure
Emmanuel Moire | Là où je pars
Emmanuel Moire | La vie ailleurs
Emmanuel Moire | L'adversaire
Emmanuel Moire | L'attirance
Emmanuel Moire | Le sourire
Emmanuel Moire | Les vivants
Emmanuel Moire | Merci
Emmanuel Moire | Ne s'aimer que la nuit
Emmanuel Moire | Promis
Emmanuel Moire | Quatre vies
Emmanuel Moire | Sans dire un mot
Emmanuel Moire | Sois tranquille
Emmanuel Moire | Toujours debout
Emmanuel Moire | Venir voir
Enrico Macias | Aïe aïe aïe je t'aime
Enrico Macias | Aie, aie, aie je t'aime
Enrico Macias | Enfants de tous pays
Enrico Macias | La France de mon enfance
Enrico Macias | Les filles de mon pays
Enrico Macias | Les gens du Nord
Enrico Macias | Les présages
Enrico Macias | L'Oriental
Enrico Macias | Malheur à celui qui blesse un enfant
Enrico Macias | Noël à Jerusalem
Enrico Macias | Solenzara
Enrico Macias | Un berger vient de tomber
Enrico Macias | Vous les femmes
Enrico Macias | Zingarella
Enzo Enzo | Juste quelqu'un de bien
Enzo Enzo | Les yeux ouverts
Eric Charden | Le monde est gris, le monde est bleu
Eric Charden | Pense à moi
Eric Lapointe | Ordinaire
Esther Galil | Le jour se lève
Etienne Daho | Comme un boomerang
Etienne Daho | Le premier jour
Etienne Daho | Mon manège à moi
Etienne Daho | Week-end à Rome
Étienne Drapeau | T'es ma femme, t'es la plus belle
Eve Angeli | Avant de Partir
Eve Angeli | C'est pour ça
Eve Angeli | Elle
Eve Angeli | Nos différences
Eve Angelii | Je sais
Fancis Cabrel | Je L'Aime à Mourir
Fanny | L'Homme à la moto
Fatals Picards | L'amour à la française
Faudel | Mon pays
Faudel | Tellement N'brick
Félix Gray | La gitane
Félix Leclerc | Le petit bonheur
Félix Mayol | Viens Poupoule
Fernand Gignac | Cerisiers roses et pommiers blancs
Fernand Gignac | L'enfant au piano
Fernandel | Ah le tango Corse
Fernandel | Aujourd'hui peut-être
Fernandel | Avec l'ami Bidasse
Fernandel | Félicie aussi
Fernandel | Ignace
Fernandel | La Bouillabaisse
Fernandel | La caissière du grand café
Fernandel | Le Tango Corse
Fernandel | Ne me dis plus tu
Fernandel | On dit qu'il en est
Fernandel | Une partie de pétanque
Flavel & Neto | Tchu Tcha Tcha
Flavel et Neto | Pedida Perfeita avec Anna Torres
Florence Coste | 3 petites notes de musique 
Florence Coste | Sous le ciel de Paris
Florent Mothe | Arrête
Florent Mothe | Les blessures qui ne se voient pas
Florent Pagny | A la Huella a la Huella
Florent Pagny | Ailleurs Land
Florent Pagny | Amsterdam
Florent Pagny | Bienvenue chez moi
Florent Pagny | Caruso
Florent Pagny | C'est le soir que je pense ma vie
Florent Pagny | Chanter
Florent Pagny | Chatelet les Halles
Florent Pagny | Comme d'habitude
Florent Pagny | De part et d'autre
Florent Pagny | Dors
Florent Pagny | Est-ce que tu me suis
Florent Pagny | Et maintenant
Florent Pagny | Et un jour une femme
Florent Pagny | Jolie Môme
Florent Pagny | La chanson des vieux amants
Florent Pagny | La donna é mobile
Florent Pagny | La Javanaise
Florent Pagny | La Soledad
Florent Pagny | Laissez-nous respirer
Florent Pagny | Le jazz et la java
Florent Pagny | L'homme à la moto
Florent Pagny | L'hymne à l'Amour
Florent Pagny | Loin de toi
Florent Pagny | Ma liberté de penser
Florent Pagny | Mathilde
Florent Pagny | Mourir les yeux ouverts
Florent Pagny | Nessun Dorma
Florent Pagny | Oh Happy Day
Florent Pagny | Petit Papa Noël
Florent Pagny | Savoir Aimer
Florent Pagny | Si tu veux m'essayer
Florent Pagny | Terre
Florent Pagny | Tue moi
Florent Pagny | Vesoul
Flying Pickets | Only you
Forever Gentlemen | C'est si bon
Forever Gentlemen | For me Formidable
Forever Gentlemen | Grands boulevards
Forever Gentlemen | La belle vie
Forever Gentlemen | La mer
Forever Gentlemen | Le soleil de ma vie
Forever Gentlemen | Mes emmerdes
Forever Gentlemen | Que reste-t-il de nos amours
Forever Gentlemen | Se retrouver un jour
Forever Gentlemen | Toute la pluie tombe sur moi
France Gall | Babacar
France Gall | Bébé Requin
France Gall | Besoin d'amour
France Gall | Bonsoir John John
France Gall | Calipso
France Gall | Ce soir je ne dors pas
France Gall | Ce soir, je ne dors pas
France Gall | Cezanne peint
France Gall | Débranche
France Gall | Donner pour donner
France Gall | Ella Elle l'a
France Gall | Evidemment
France Gall | Hong Kong Star
France Gall | Il jouait du piano debout
France Gall | La chanson d'Azima
France Gall | La minute de silence
France Gall | Laisse tomber les filles
France Gall | Le meilleur de soi-même
France Gall | Les sucettes
France Gall | Musique
France Gall | Plus d'été
France Gall | Plus haut
France Gall | Poupée de cire poupée de son
France Gall | Privée d'amour
France Gall | Sacré Charlemagne
France Gall | Samba Mambo
France Gall | Si Maman si
France Gall | Tout pour la musique
France Gall | Viens je t'emmène
Francis Cabrel | Cent ans de plus
Francis Cabrel | C'est écrit
Francis Cabrel | C'était l'hiver
Francis Cabrel | Comme une femme
Francis Cabrel | Dame d'un soir
Francis Cabrel | Edition spéciale
Francis Cabrel | Elle écoute pousser les fleurs
Francis Cabrel | Elle m'appartient
Francis Cabrel | Encore et encore
Francis Cabrel | Je rêve
Francis Cabrel | Je t'aimais, Je t'aime, Je t'aimerai
Francis Cabrel | Je te suivrais
Francis Cabrel | Je te vois venir
Francis Cabrel | La Corrida
Francis Cabrel | La dame de Haute Savoie
Francis Cabrel | L'Encre de tes Yeux
Francis Cabrel | Les vidanges du diable
Francis Cabrel | L'homme qui marche
Francis Cabrel | Lisa
Francis Cabrel | Petite Marie
Francis Cabrel | Quand j'aime une fois, j'aime pour toujours
Francis Cabrel | Sarbacane
Francis Cabrel | Si tu la croises un jour
Francis Cabrel | Telecaster
Francis Cabrel | Une star à sa façon
Francis Lalanne | La maison du bonheur
Francis Lalanne | On se retrouvera
Francis Lalanne | Reste avec moi
Francis Lemarque | A Paris
Francis Lemarque | Le petit cordonnier
Francis Lemarque | Marjolaine
Franck Alamo | Biche oh ma Biche
Franck Alamo | Des roses pour un ange blond
Franck Fernandel | L'Amour interdit
Franck Michael | T'en vas pas
Francky Vincent | Alice ça glisse
Francky Vincent | Fruit de la passion
François Deguelt | Le printemps
François Deguelt | Le soleil et la mer
François Feldman | Joue pas
François Feldman | Joue Pas
François Feldman | Les valses de Vienne
François Feldman | Slave
François Valéry | Aimons-nous vivants
François Valéry | Elle danse Marie, elle danse
François Valéry | La faute au Rock'n Roll
François Valéry | Nos DJ font danser le monde
Françoise Hardy | Comment te dire adieu
Françoise Hardy | Des ronds dans l'eau
Françoise Hardy | Fais-moi une place
Françoise Hardy | La maison où j'ai grandi
Françoise Hardy | La valse des regrets
Françoise Hardy | L'amitié
Françoise Hardy | Le temps de l'amour
Françoise Hardy | Ma jeunesse fout le camp
Françoise Hardy | Message personnel
Françoise Hardy | Mon amie la rose
Françoise Hardy | Où va la chance
Françoise Hardy | Puisque vous partez en voyage
Françoise Hardy | Tous les garçons et les filles
Frank Alamo | Da dou ron ron
Frank Alamo | Le chef de la bande
Frank Alamo | Ma biche
Frank Alamo | Sing c'est la vie
Frank Michael | Amapola
Frank Michael | C'est impossible
Frank Michael | Dites-lui que je l'aime
Frank Michael | Don Pedro
Frank Michael | Du côté de l'amour
Frank Michael | J'peux pas t'oublier
Frank Michael | Le blues de toi
Frank Michael | Le coeur qui s'accroche
Frank Michael | Le temps qu'il nous reste
Frank Michael | Les Caraïbes à la maison
Frédéric François | Soleil soleil
Frédéric François | Aimer
Frédéric François | Ça commence comme une histoire d'amour
Frédéric François | C'est toi qui pars, c'est toi qui pleures
Frédéric François | Chicago
Frédéric François | Elles sont toutes espagnoles
Frédéric François | Il est déjà trop tard
Frédéric François | Je t'aime à l'italienne
Frédéric François | Je voudrais dormir près de toi
Frédéric François | Joue pour elle
Frédéric François | Laisse moi vivre ma vie
Frédéric François | Les anges dans nos campagnes
Frédéric François | Mon coeur te dit je t'aime
Frédéric François | Quand Papa chantait
Frédéric François | Qu'as tu fait de moi
Frédéric François | Une femme pour la vie
Frédéric François | Viens te perdre dans mes bras
Frédéric Lerner | Plus là
Fredericks Goldman Jones | A nos actes manqués
Fredericks Goldman Jones | C'est pas d'l'amour
Fredericks Goldman Jones | Juste après
Fredericks Goldman Jones | Né en 17 à Leidenstadt
Fredericks Goldman Jones | Ne lui dis pas
Fredericks Goldman Jones | Nuit
Fredericks Goldman Jones | Pas toi
Fredericks Goldman Jones | Rouge
Fredericks Goldman Jones | Tu manques
Fredericks Goldman Jones | Un, deux, trois
Fréhel | Le dénicheur
Fréro Delavega | Il y a
Fréro Delavega | Le chant des sirènes
Fréro Delavega | Le coeur éléphant
Fréro Delavega | Mon petit pays
Fréro Delavega | Ton visage
Frida Boccara | Cent mille chansons
Frida Boccara | Johnny jambe de bois
Frida Boccara | Les moulins de mon coeur
Frida Boccara | Un jour un enfant
La reine des neiges | En été
La reine des neiges | Libérée, délivrée
La reine des neiges | L'Amour est un cadeau
Gaëtan Roussel | Dis-moi encore que tu m'aimes
Gaëtan Roussel | Help Myself
Gage | Pardonne-moi
Garou | Criminel
Garou | Gentleman cambrioleur
Garou | J'avais besoin d'être là
Garou | Je n'attendais que vous
Garou | Je suis le même
Garou | La Bohème
Garou | L'aveu
Garou | Le jour se lève
Garou | Lis dans mes yeux
Garou | Petit garçon
Garou | Quand je manque de toi
Garou | Quand tu danses
Garou | Que l'amour est violent
Garou | Reviens
Garou | Sous le vent
Garou | Stone
Garou | Sur la route
Garth Brooks | If tomorrow never comes
Gaston Ouvrard | Je n'suis pas bien portant
Gauthier Galand | Chanteur Humanitaire
Gauthier Galand | Je fais du sport
Gauthier Galand | La réponse est l'amour
Gauthier Galand | La vie en vert
Gauthier Galand | Noël avec toi
Gauthier Galand | Toi et moi
Générique Télé | Starsky & Hutch
Georges Bizet | L'amour est un oiseau rebelle
Georges Brassens | Au bois de mon coeur
Georges Brassens | Auprès de mon arbre
Georges Brassens | Bonhomme
Georges Brassens | Brave Margot
Georges Brassens | Chanson pour l'Auvergnat
Georges Brassens | Cupidon s'en fout
Georges Brassens | Dans l'eau de la claire fontaine
Georges Brassens | Don Juan
Georges Brassens | Fernande
Georges Brassens | Hécatombe
Georges Brassens | Il n'y a pas d'amour heureux
Georges Brassens | Il suffit de passer le pont
Georges Brassens | J'ai rendez-vous avec vous
Georges Brassens | Je m'suis fait tout petit
Georges Brassens | Je rejoindrai ma belle
Georges Brassens | Je suis un voyou
Georges Brassens | La  marguerite
Georges Brassens | La cane de Jeanne
Georges Brassens | La chasse aux papillons
Georges Brassens | La complainte des filles de joie
Georges Brassens | La femme d'Hector
Georges Brassens | La guerre de 14-18
Georges Brassens | La Jeanne
Georges Brassens | La marche nuptiale
Georges Brassens | La mauvaise réputation
Georges Brassens | La première fille
Georges Brassens | Le 22 septembre
Georges Brassens | Le gorille
Georges Brassens | Le parapluie
Georges Brassens | Le petit cheval
Georges Brassens | Le temps ne fait rien à l'affaire
Georges Brassens | Les amoureux des bancs publics
Georges Brassens | Les copains d'abord
Georges Brassens | Les passantes
Georges Brassens | Les sabots d'Hélène
Georges Brassens | Les trompettes de la renommée
Georges Brassens | L'orage
Georges Brassens | Marinette
Georges Brassens | Mourir pour des idées
Georges Brassens | Pauvre Martin
Georges Brassens | Putain de toi
Georges Brassens | Quatre-vingt-quinze pour cent
Georges Brassens | Rien à jeter
Georges Brassens | Tonton Nestor
Georges Brassens | Une jolie fleur
Georges Chelon | La salopette
Georges Chelon | Le père prodigue
Georges Chelon | Morte saison
Georges Chelon | Père Prodigue
Georges Chelon | Prélude
Georges Chelon | Tic tac
Georges Guétary | C'est la vie de Bohème
Georges Hamel | Au bout de tes rêves
Georges Hamel | Une fleur dans la nuit
Georges Moustaki | Donne du rhum à ton homme
Georges Moustaki | Il est trop tard
Georges Moustaki | Il y avait un jardin
Georges Moustaki | Joseph
Georges Moustaki | La Philosophie
Georges Moustaki | Le métèque
Georges Moustaki | Le temps de vivre
Georges Moustaki | Les eaux de Mars
Georges Moustaki | Ma liberté
Georges Moustaki | Ma solitude
Georgette Lemaire | Vous étiez belle madame
Georgette Plana | Et Viva España
Georgette Plana | L'Hirondelle du faubourg
Georgette Plana | Riquita
Georgius | La plus bath des Javas
Gérald De Palmas | Elle habite ici
Gérald de Palmas | Sur la route
Gérald de Palmas | Tomber
Gérard Berliner | Louise
Gérard Blanc | Sentiment d'océan
Gérard Blanc | Tonton baton
Gérard Blanc | Une autre histoire
Gérard Blanchard | Elle voulait revoir sa Normandie
Gérard Blanchard | Rockamadour
Gérard Lenorman | Ailleurs
Gérard Lenorman | Amour de pluie
Gérard Lenorman | De toi
Gérard Lenorman | Elle s'en vont les amours
Gérard Lenorman | Il
Gérard Lenorman | La ballade des gens heureux
Gérard Lenorman | L'enfant des cathédrales
Gérard Lenorman | Lilas
Gérard Lenorman | Quand une foule crie bravo
Gérard Lenorman | Si j'étais président
Gilbert Becaud | Encore une fois
Gilbert Bécaud | Age tendre et tête de bois
Gilbert Bécaud | C'est en Septembre
Gilbert Bécaud | Chapeau
Gilbert Bécaud | Charlie t'iras pas au Paradis
Gilbert Bécaud | Crois-moi, ça durera
Gilbert Bécaud | Désirée
Gilbert Bécaud | Desperado
Gilbert Bécaud | Dimanche à Orly
Gilbert Bécaud | Et maintenant
Gilbert Bécaud | Et Maintenant
Gilbert Bécaud | Faut faire avec
Gilbert Bécaud | Il y a des moments si merveilleux
Gilbert Bécaud | Je reviens te chercher
Gilbert Bécaud | Je t'appartiens
Gilbert Bécaud | La Ballade des Baladins
Gilbert Bécaud | La grosse noce
Gilbert Bécaud | La solitude ça n'existe pas
Gilbert Bécaud | La vente aux enchères
Gilbert Bécaud | L'absent
Gilbert Bécaud | L'amour est mort
Gilbert Bécaud | L'amour est mort
Gilbert Bécaud | Le jour où la pluie viendra
Gilbert Bécaud | Le petit oiseau de toutes les couleurs
Gilbert Bécaud | Les cerisiers sont blancs
Gilbert Bécaud | Les marchés de Provence
Gilbert Bécaud | Les Petites Mademoiselles
Gilbert Bécaud | L'important c'est la rose
Gilbert Bécaud | L'Indien
Gilbert Bécaud | L'indifférence
Gilbert Bécaud | L'orange
Gilbert Bécaud | Nathalie
Gilbert Bécaud | On prend toujours un train pour quelque part
Gilbert Bécaud | Petite fleur
Gilbert Bécaud | Pilou Pilou Hé
Gilbert Bécaud | Quand il est mort le poète
Gilbert Bécaud | Quand Jules est au violon
Gilbert Bécaud | Seul sur son étoile
Gilbert Bécaud | Un peu d'Amour et d'amitié
Gilbert Montagné | Bienvenue
Gilbert Montagné | Elle chantait ma vie en musique
Gilbert Montagné | J'ai le blues de toi
Gilbert Montagné | Les sunlights des tropiques
Gilbert Montagné | Musicienne
Gilbert Montagné | On va s'aimer
Gilbert Montagné | Quelques notes de musique
Gilbert Montagné | Sous les sunlights des tropiques
Ginette Reno | Ca pleure aussi un homme
Ginette Reno | Deux histoires
Ginette Reno | J'ai besoin d'un ami
Ginette Reno | J'ai vu maman embrasser le père Noël
Ginette Reno | Je me souviens de toi
Ginette Reno | Je ne suis qu'une chanson
Ginette Reno | La dernière valse
Ginette Reno | La deuxième voix
Ginette Reno | La quête
Ginette Reno | L'essentiel
Ginette Reno | Ne m'en veux pas
Ginette Reno | Remixer ma vie
Ginette Reno | Un homme ça tient chaud
Ginette Reno | Un peu plus haut, un peu plus loin
Ginette Reno | Ne m'en veux pas
Gloria Lasso | Etranger au Paradis
Gloria Lasso | La chanson d'Orphée
Gold | Capitaine abandonné
Gold | Plus près des étoiles
Gold | Ville de lumière
Grace Jones | La vie en rose
Grace Jones | La vie en rose 
Graeme Allright | Petit garçon
Graeme Allwright | Le jour de clarté
Graeme Allwright | Petit garçon
Graeme Allwright | Sacrée bouteille
Grand Jojo | Le French Cancan
Grand Jojo | On a soif
Graziella De Michèle | Le pull over blanc
Greame Allwright | Les soeurs de la Miséricorde
Grégoire | Ce qu'il reste de toi
Grégoire | Danse
Grégoire | En souvenir de nous
Grégoire | L'ami intime
Grégoire | Merci
Grégoire | Nuages
Grégoire | Rue des étoiles
Grégoire | Soleil
Grégoire | Ta main
Grégoire | Toi plus Moi
Grégoire | Tu me manques
Grégoire | La promesse
Grégory Lemarchal | A corps perdu
Grégory Lemarchal | Con te partiro
Grégory Lemarchal | De temps en temps
Grégory Lemarchal | Ecris l'histoire
Grégory Lemarchal | Envole-moi
Grégory Lemarchal | Et maintenant
Grégory Lemarchal | Je deviens moi
Grégory Lemarchal | Je rêve
Grégory Lemarchal | Je t'écris
Grégory Lemarchal | Là-bas
Grégory Lemarchal | Le lien
Grégory Lemarchal | Les moulins de mon coeur
Grégory Lemarchal | Mon ange
Grégory Lemarchal | Noël ensemble
Grégory Lemarchal | Quand on a que l'Amour
Grégory Lemarchal | The show must go on
Grégory Lemarchal | Tu prends
Grégory Lemarchal | What tou're made of
Guillaume Grand | Toi et moi
Guy Béart | La vérité
Guy Béart | Le matin, je m'éveille en chantant
Guy Béart | L'eau vive
Guy Béart | Les couleurs du temps
Guy Bedos | La Drague
Guy Marchand | Destinée
Guy Mardel | N'avoue jamais
Happy Birthday Song | Joyeux Anniversaire
Hélène Segara | Y'a trop de gens qui t'aiment
Hélène Ségara | A toi
Hélène Ségara | Ailleurs comme ici
Hélène Ségara | Dans les yeux d'Emilie
Hélène Ségara | Donner tout
Hélène Ségara | Elle tu l'aimes
Hélène Ségara | Et si tu n'existais pas
Hélène Ségara | La complainte de la butte
Hélène Ségara | L'été indien
Hélène Ségara | Loin du froid de Décembre
Hélène Ségara | Salut
Hélène Ségara | Salut les Amoureux
Hélène Ségara | Si tu t'appelles Mélancolie
Hélène Ségara | Vivo per lei
Henri Garat | C'est un mauvais garçon
Henri Salvador | Adieu foulards, adieu madras
Henri Salvador | Blouse du dentiste
Henri Salvador | Count Basie
Henri Salvador | Dans mon île
Henri Salvador | Faut rigoler
Henri Salvador | Jardin D'hiver
Henri Salvador | Jazz méditéranée
Henri Salvador | Juanita Banana
Henri Salvador | Le loup, la biche et le chevalier
Henri Salvador | Le travail c'est la santé
Henri Salvador | Ma Doudou
Henri Salvador | Maman la plus belle du monde
Henri Salvador | Zorro est arrivé
Herbert Léonard | Ça pleure pas un homme
Herbert Léonard | Est-ce que tu penses à moi
Herbert Léonard | Je mettrais le temps qu'il faudra
Herbert Léonard | Mon cur et ma maison
Herbert Léonard | Pour le plaisir
Herbert Léonard | Quand tu m'aimes
Herbert Léonard | Quelque chose tient mon coeur
Herbert Léonard | Tu ne pourras plus jamais m'oublier
Hervé Christiani | Il est libre Max
Hervé Vilard | Capri c'est fini
Hervé Vilard | Champagne
Hervé Vilard | J'm'en balance
Hervé Vilard | La vie est belle, le monde est beau
Hervé Vilard | Méditerranéenne
Hervé Vilard | Rêveries
Hervé Vilard | Sayonara
Hervé Vilard | Un monde fait pour nous
Hubert-Félix Thiéfaine | La fille du coupeur de joints
Hubert-Félix Thiéfaine | La ruelle des morts
Hugues Aufray | Adieu Monsieur le Professeur
Hugues Aufray | Ce n'était pas moi
Hugues Aufray | Ce que je veux surtout
Hugues Aufray | Comme des pierres qui roulent
Hugues Aufray | Corrina Corrina
Hugues Aufray | Dans le souffle du vent
Hugues Aufray | Dès que le printemps revient
Hugues Aufray | Elle descend de la montagne
Hugues Aufray | Et si moi je n'veux pas
Hugues Aufray | Jambalaya sur le Bayou
Hugues Aufray | Je reviens
Hugues Aufray | Knock Knock Ouvre-Toi Porte Du Ciel
Hugues Aufray | La terre est si belle
Hugues Aufray | Le jour où le bateau viendra
Hugues Aufray | Le petit âne gris
Hugues Aufray | L'épervier
Hugues Aufray | Les crayons de couleur
Hugues Aufray | Les temps changent
Hugues Aufray | Mais qu'est-ce que tu voulais
Hugues Aufray | Nous serons libres
Hugues Aufray | N'y pense plus tout est bien
Hugues Aufray | Santiano
Hugues Aufray | Stewball
Hugues Aufray | Tout Le Long Du Chemin
Hugues Aufray | Tout l'monde un jour s'est planté
Hugues Aufray | Tu sens bon la terre
Il était une fois | J'ai encore rêvé d'elle
Il était une fois | Viens faire un tour sous la pluie
